number;ScientificName_accepted;REFERENCE;SITE;YEAR;LONGITUDE;LATITUDE
1527;Sargassum muticum;Belsher questionnaire;Plougrescant;1982;-3.21274;48.85214
1528;Sargassum muticum;Belsher questionnaire;Tredarzec_drift;1984;-3.21274;48.81054
1529;Sargassum muticum;Critchley 1983;Baie d'Etel;1981;-3.21102;47.65435
1530;Sargassum muticum;Belsher questionnaire;Riviere d'Etel;1990;-3.20894;47.65889
1531;Sargassum muticum;Belsher questionnaire;Plouguiel;1984;-3.20839;48.81923
1533;Sargassum muticum;Belsher questionnaire;Passage d'Etel_drift;1989;-3.20692;47.65197
1534;Sargassum muticum;Belsher questionnaire;La Roche Jaune;1983;-3.20591;48.83165
1535;Sargassum muticum;Gruet 1983;Etel;1982;-3.20465;47.66712
1538;Sargassum muticum;Belsher questionnaire;Belz;1987;-3.17308;47.67839
1542;Sargassum muticum;Belsher questionnaire;Pointe de Ninezur;1987;-3.16053;47.68206
1544;Sargassum muticum;Belsher questionnaire;Taillefer;1988;-3.15367;47.36525
1547;Sargassum muticum;Belsher questionnaire;Portivy;1988;-3.14245;47.56541
1551;Sargassum muticum;Belsher questionnaire;Bordardoue;1985;-3.12733;47.33008
1552;Sargassum muticum;Belsher questionnaire;Penthievre;1985;-3.12054;47.55414
1562;Sargassum muticum;Belsher questionnaire;Baie de Quiberon;1988;-3.08329;47.53364
1563;Sargassum muticum;Belsher questionnaire;Sillon du Talberg_drift;1981;-3.08297;48.88691
1564;Sargassum muticum;Belsher questionnaire;Plage des Grands Sables_drift;1984;-3.0824;47.31882
1581;Sargassum muticum;Critchley 1983;L'arcouest;1981;-3.01803;48.82585
1582;Sargassum muticum;Belsher questionnaire;Pointe de l'Arcouest;1984;-3.01761;48.82546
1583;Sargassum muticum;Gruet 1983;Pointe de l'Arcouest;1982;-3.01731;48.8269
1585;Sargassum muticum;Critchley 1983;Ile de Brehat;1981;-3.01586;48.84747
1586;Sargassum muticum;Belsher questionnaire;Ploubazlanec;1988;-3.0139;48.81145
1587;Sargassum muticum;Belsher questionnaire;Saint Philibert_drift;1989;-3.01007;47.57843
1588;Sargassum muticum;Belsher questionnaire;South of Brehat;1987;-3.00943;48.8415
1589;Sargassum muticum;Belsher questionnaire;Guerzido Beach_drift;1984;-3.00665;48.84212
1590;Sargassum muticum;Belsher questionnaire;Brehat Island;1990;-3.00352;48.84086
1591;Sargassum muticum;Gruet 1983;South west Brehat Island;1982;-2.99987;48.84047
1592;Sargassum muticum;Belsher questionnaire;Between Houat Island and La Trinite_drift;1987;-2.99413;47.46216
1593;Sargassum muticum;Critchley 1983;Plouezec;1980;-2.99285;48.76696
1597;Sargassum muticum;Gruet 1983;Port Lazo;1980;-2.96933;48.76711
1599;Sargassum muticum;Belsher questionnaire;Mez de Goelo;1988;-2.95246;48.78671
1601;Sargassum muticum;N. Mieszkowska;Lyme Regis;2011;-2.9518;50.7138
1603;Sargassum muticum;Belsher questionnaire;Locmariaquer;1983;-2.94148;47.5656
1604;Sargassum muticum;Belsher questionnaire;Locmariaquer;1987;-2.93805;47.56276
1605;Sargassum muticum;Belsher questionnaire;Locmariaquer;1987;-2.93804;47.5516
1606;Sargassum muticum;Belsher questionnaire;Anse de Baden;1983;-2.93081;47.59437
1609;Sargassum muticum;Gorostiaga et al 1987;Arminza;1987;-2.9151;43.44239
1611;Sargassum muticum;Belsher questionnaire;Arzon;1983;-2.90653;47.56106
1616;Sargassum muticum;Belsher questionnaire;Between Gavrinis and Ile Longue;1983;-2.89916;47.57089
1622;Sargassum muticum;Belsher questionnaire;Gavrinis;1983;-2.89097;47.57089
1624;Sargassum muticum;Belsher questionnaire;Larmor Baden;1983;-2.88629;47.57451
1625;Sargassum muticum;Belsher questionnaire;Berder Island;1983;-2.88558;47.57413
1626;Sargassum muticum;Belsher questionnaire;Anse de Kerdelan;1987;-2.88502;47.59001
1627;Sargassum muticum;Belsher questionnaire;Anse de Kerdelan;1983;-2.88137;47.59702
1637;Sargassum muticum;Belsher questionnaire;West of Irus Island;1984;-2.85241;47.60912
1638;Sargassum muticum;Belsher questionnaire;Port Blanc;1983;-2.85073;47.59905
1639;Sargassum muticum;Belsher questionnaire;Saint Gildas de Rhuys;1987;-2.85;47.51246
1641;Sargassum muticum;Belsher questionnaire;Pointe d'Arradon;1983;-2.83857;47.60773
1642;Sargassum muticum;Belsher questionnaire;Holavre Island;1988;-2.83637;47.60192
1643;Sargassum muticum;Belsher questionnaire;East of Arradon;1983;-2.8332;47.61044
1644;Sargassum muticum;Belsher questionnaire;Binic;1984;-2.82857;48.60241
1645;Sargassum muticum;Belsher questionnaire;Blinic;1984;-2.8269;48.60255
1646;Sargassum muticum;Belsher questionnaire;Les Godelins_drift;1984;-2.82409;48.62245
1650;Sargassum muticum;Belsher questionnaire;Arz Island;1983;-2.80523;47.59437
1651;Sargassum muticum;Belsher questionnaire;Pointe de Rodeguas_Arradon;1983;-2.80254;47.61265
1652;Sargassum muticum;Belsher questionnaire;Dronec Island_Morbihan;1982;-2.80205;47.60353
1653;Sargassum muticum;Belsher questionnaire;Arz island;1985;-2.80124;47.59578
1654;Sargassum muticum;Belsher questionnaire;Keroland Beach_drift;1984;-2.80047;47.58187
1655;Sargassum muticum;Belsher questionnaire;Pordic;1987;-2.79836;48.58996
1659;Sargassum muticum;Belsher questionnaire;Iles Saint Quay;1987;-2.79447;48.63555
1660;Sargassum muticum;Belsher questionnaire;Pointe de Belure;1982;-2.79214;47.60746
1661;Sargassum muticum;Belsher questionnaire;Pointe de Belure;1981;-2.79198;47.60745
1663;Sargassum muticum;Belsher questionnaire;Between Binic and Saint Quay;1987;-2.78892;48.61697
1664;Sargassum muticum;Belsher questionnaire;Escobes;1983;-2.78638;47.5957
1667;Sargassum muticum;Gruet 1983;Ile d'Arz;1982;-2.78169;47.59603
1669;Sargassum muticum;Belsher questionnaire;Petit havre Pordic;1987;-2.77912;48.57759
1670;Sargassum muticum;Belsher questionnaire;Boedic Island;1981;-2.77575;47.60857
1675;Sargassum muticum;Gruet 1983;Ile de Lerne;1982;-2.75923;47.58589
1676;Sargassum muticum;Belsher questionnaire;Plage des Rosaires;1987;-2.75575;48.56748
1683;Sargassum muticum;Belsher questionnaire;Port Martin;1988;-2.72887;48.56045
1685;Sargassum muticum;Gorostiaga et al 1987;Mundaka;1987;-2.7035;43.4241
1686;Sargassum muticum;Barcelo Marti et al 2001;Mundaka;1986;-2.69746;43.41587
1687;Sargassum muticum;Belsher questionnaire;Hillion_dirft;1987;-2.68726;48.51644
1688;Sargassum muticum;Belsher questionnaire;Lermot_drift;1988;-2.67384;48.53761
1695;Sargassum muticum;Belsher questionnaire;Off Piriac sur Mer_drift;1987;-2.57789;47.38143
1696;Sargassum muticum;Critchley 1983;Guernsey;1980;-2.57099;49.50213
1698;Sargassum muticum;Gruet 1983;Pleneuf Val Andre;1980;-2.56049;48.60271
1700;Sargassum muticum;Belsher questionnaire;Le Val Andre;1987;-2.55213;48.60153
1701;Sargassum muticum;Belsher questionnaire;Piriac sur Mer;1987;-2.55133;47.37782
1710;Sargassum muticum;Belsher questionnaire;Port du Croisic;1988;-2.51816;47.30054
1711;Sargassum muticum;Belsher questionnaire;Chenal de Pen Bron;1986;-2.51611;47.30556
1713;Sargassum muticum;Belsher questionnaire;La Turballe_drift;1988;-2.51126;47.34771
1716;Sargassum muticum;Belsher questionnaire;Ville Berneuf_drift;1987;-2.50694;48.61135
1717;Sargassum muticum;Critchley 1983;Plage du Guen (Cap d'Erq;1980;-2.49285;48.64785
1718;Sargassum muticum;Gruet 1983;Le Guen;1980;-2.49265;48.64785
1719;Sargassum muticum;Gruet 1983;Erquy;1980;-2.49232;48.64161
1720;Sargassum muticum;Belsher questionnaire;Plage du Guern;1987;-2.49027;48.64793
1721;Sargassum muticum;Belsher questionnaire;Baie de Loscolo;1987;-2.48983;47.47059
1723;Sargassum muticum;Belsher questionnaire;Guerande;1990;-2.48775;47.30446
1724;Sargassum muticum;Gorostiaga et al 1987;Lekeito;1987;-2.48687;43.36919
1726;Sargassum muticum;Belsher questionnaire;Baie du Bile;1987;-2.48582;47.44313
1728;Sargassum muticum;Cabioch 1981;Erquy;1980;-2.48124;48.63524
1730;Sargassum muticum;Belsher questionnaire;Penestin;1984;-2.47204;47.49694
1738;Sargassum muticum;Critchley 1983;Berchou;1981;-2.44216;49.77267
1752;Sargassum muticum;Belsher questionnaire;Yeu Island_drift;1984;-2.36774;46.73507
1756;Sargassum muticum;Belsher questionnaire;Pornichet_drift;1988;-2.33587;47.25682
1757;Sargassum muticum;Gruet 1983;Pornichet_drift;1984;-2.32516;47.24964
1764;Sargassum muticum;Gorostiaga et al 1987;Zumaya;1987;-2.28786;43.30323
1767;Sargassum muticum;Critchley Morrell 1982;L'Etacq;1980;-2.24709;49.24201
1768;Sargassum muticum;Critchley 1983;L'Oeilliere;1981;-2.24335;49.23693
1769;Sargassum muticum;Critchley 1983;La Corbiere;1981;-2.24309;49.18397
1772;Sargassum muticum;Critchley 1983;L'Etacq;1980;-2.23169;49.22027
1773;Sargassum muticum;Belsher questionnaire;Bourgneuf Bay_La Banche;1984;-2.23105;47.05009
1776;Sargassum muticum;Critchley 1983;Alderney;1981;-2.21853;49.7283
1777;Sargassum muticum;Belsher questionnaire;Anse du Fourneau;1987;-2.21815;47.00793
1778;Sargassum muticum;Belsher questionnaire;Le Sableau;1985;-2.21715;47.00003
1779;Sargassum muticum;Belsher questionnaire;Noirmoutier;1987;-2.21696;46.99254
1780;Sargassum muticum;Belsher questionnaire;Plage de Trousse Chemise_drift;1986;-2.21693;46.95834
1781;Sargassum muticum;Belsher questionnaire;Bois de la Chaise_drift;1988;-2.21651;47.00415
1783;Sargassum muticum;Casares Pascual et al 1987;Guetaria;1985;-2.20735;43.30988
1785;Sargassum muticum;Belsher questionnaire;Bourgneuf Bay_Les Belletes_drift;1984;-2.20647;46.98026
1795;Sargassum muticum;Gorostiaga et al 1987;Getaria;1987;-2.19466;43.30506
1798;Sargassum muticum;Belsher questionnaire;Saint Jacut de la Mer;1988;-2.1903;48.60639
1809;Sargassum muticum;Critchley 1983;St Briac;1978;-2.16299;48.62392
1810;Sargassum muticum;Belsher questionnaire;Baie de Lancieux;1984;-2.16195;48.61263
1811;Sargassum muticum;Belsher questionnaire;Bourgneuf Bay_La Vendette;1984;-2.16189;46.996
1812;Sargassum muticum;Critchley 1983;Broad Bench;1979;-2.1533;50.61292
1813;Sargassum muticum;Belsher questionnaire;Saint Briac_drift;1987;-2.1497;48.62137
1814;Sargassum muticum;Belsher questionnaire;Saint Briac;1984;-2.14754;48.62124
1815;Sargassum muticum;Gruet 1980;Saint Briac;1978;-2.14751;48.62374
1816;Sargassum muticum;Critchley 1983;Portlet Bay;1981;-2.14468;49.20016
1823;Sargassum muticum;Belsher questionnaire;Bourgneuf Bay_La Preoire;1984;-2.13042;46.99731
1824;Sargassum muticum;Belsher questionnaire;Le Gois_Noirmoutier;1985;-2.12563;46.93819
1826;Sargassum muticum;Critchley Morrell 1982;Saint Helier;1980;-2.118;49.19188
1832;Sargassum muticum;Critchley 1983;St Helier;1980;-2.10944;49.18078
1835;Sargassum muticum;Critchley 1983;St Enogat;1978;-2.08978;48.64411
1839;Sargassum muticum;Gruet 1980;Saint Enogat;1978;-2.08525;48.64193
1845;Sargassum muticum;Critchley 1983;Chapman's Pool;1976;-2.07211;50.59639
1854;Sargassum muticum;Critchley 1983;Ile Haumet;1978;-2.03755;48.64228
1861;Sargassum muticum;Critchley 1983;La Rocque;1981;-2.0319;49.1722
1866;Sargassum muticum;Critchley Morrell 1982;Le Hocq;1980;-2.03061;49.17498
1869;Sargassum muticum;Critchley 1983;Le Hocq;1980;-2.0297;49.22629
1873;Sargassum muticum;Belsher questionnaire;Plage du Sillon;1988;-2.02479;48.65608
1876;Sargassum muticum;Belsher questionnaire;Saint Malo;1984;-2.02004;48.66081
1878;Sargassum muticum;Gruet 1980;Saint Malo;1978;-2.00924;48.66706
1885;Sargassum muticum;Critchley 1983;Poole Harbour;1978;-1.99329;50.69714
1899;Sargassum muticum;Critchley 1983;Les Echrehou;1980;-1.96402;49.324
1902;Sargassum muticum;Critchley 1983;Studland Bay;1979;-1.95109;50.65035
1909;Sargassum muticum;Belsher questionnaire;Saint Gilles Croix de Vie;1988;-1.94031;46.6828
1912;Sargassum muticum;Gruet 1980;South of Le Nez de Jobourg;1978;-1.93229;49.67522
1917;Sargassum muticum;Belsher questionnaire;Between Saint Malo and Chausey;1988;-1.90429;48.78517
1918;Sargassum muticum;Belsher questionnaire;Off Diellette_drift;1987;-1.90189;49.52735
1925;Sargassum muticum;Belsher questionnaire;Dielette;1985;-1.88636;49.54463
1928;Sargassum muticum;Critchley 1983;Herquemoulin;1978;-1.88009;49.66376
1929;Sargassum muticum;Gruet 1980;Siouville;1978;-1.8799;49.54901
1930;Sargassum muticum;Gruet 1980;Dielette;1978;-1.87834;49.5513
1931;Sargassum muticum;Critchley 1983;Dielette;1978;-1.87429;49.5527
1932;Sargassum muticum;Belsher questionnaire;Saint Meloir des Ondes;1990;-1.87046;48.64823
1934;Sargassum muticum;Belsher questionnaire;Cancale;1988;-1.85761;48.67426
1935;Sargassum muticum;Belsher questionnaire;Siouville Hague;1987;-1.84831;49.57293
1937;Sargassum muticum;Gruet 1980;Chausey;1978;-1.84823;48.87919
1938;Sargassum muticum;Critchley 1983;Ile aux Oiseaux (Chausey;1978;-1.84297;48.88302
1939;Sargassum muticum;Critchley 1983;Omonville-la-Rogue;1978;-1.83949;49.71669
1941;Sargassum muticum;Gruet 1980;Omonvillle La Rogue;1978;-1.83833;49.71527
1944;Sargassum muticum;Belsher questionnaire;Chausey;1986;-1.83126;48.88047
1945;Sargassum muticum;Belsher questionnaire;Chausey;1984;-1.82798;48.88059
1947;Sargassum muticum;Critchley 1983;Grande Ile;1978;-1.82675;48.8744
1949;Sargassum muticum;Critchley 1983;Saccaviron;1978;-1.81864;48.87964
1952;Sargassum muticum;Barcelo Marti et al 2001;Cabo Higuer;1988;-1.79001;43.39417
1955;Sargassum muticum;Gorostiaga et al 1987;Fuenterrabia;1987;-1.78658;43.39513
1961;Sargassum muticum;Belsher questionnaire;Querqueville;1986;-1.68255;49.67482
1962;Sargassum muticum;Belsher questionnaire;Querqueville;1984;-1.68234;49.67484
1979;Sargassum muticum;Belsher questionnaire;Rade de Cherbourg;1986;-1.61926;49.65414
1984;Sargassum muticum;Belsher questionnaire;Gouville sur Mer;1986;-1.61145;49.10519
1986;Sargassum muticum;Critchley 1983;Granville;1977;-1.60794;48.84908
1988;Sargassum muticum;Belsher questionnaire;Granville;1986;-1.60656;48.83709
1989;Sargassum muticum;Belsher questionnaire;Granville_Herel;1984;-1.60505;48.83648
1990;Sargassum muticum;Gruet 1977;Granville;1976;-1.60425;48.83632
1995;Sargassum muticum;Gruet 1980;Granville;1977;-1.59626;48.83632
1997;Sargassum muticum;Belsher questionnaire;Blainville sur Mer;1986;-1.59091;49.0773
2001;Sargassum muticum;Belsher questionnaire;Donville les Bains;1988;-1.58335;48.86046
2002;Sargassum muticum;Gruet 1980;Le Becquet;1978;-1.55615;49.66333
2003;Sargassum muticum;Belsher questionnaire;Bricqueville sur Mer;1988;-1.55116;48.92905
2004;Sargassum muticum;Belsher questionnaire;Bricqueville sur Mer;1984;-1.55093;48.92779
2005;Sargassum muticum;Belsher questionnaire;Bricqueville sur Mer;1986;-1.55083;48.92955
2006;Sargassum muticum;Belsher questionnaire;Bricqueville sur Mer;1983;-1.5508;48.92568
2007;Sargassum muticum;Belsher questionnaire;Brehal;1986;-1.55051;48.92173
2008;Sargassum muticum;Cosson et al 1977;Warden Point_Wight;1976;-1.54846;50.69224
2009;Sargassum muticum;Critchley 1983;Warden Point;1976;-1.54835;50.69251
2010;Sargassum muticum;Belsher questionnaire;Fier d'Ars;1985;-1.49814;46.22448
2011;Sargassum muticum;Belsher questionnaire;Fier d'Ars;1990;-1.49451;46.22138
2012;Sargassum muticum;Belsher questionnaire;Fiers d'Ars;1988;-1.49279;46.22524
2013;Sargassum muticum;Belsher questionnaire;Anse du Brick;1984;-1.49221;49.67764
2014;Sargassum muticum;Belsher questionnaire;Les Portes en Re;1988;-1.48083;46.25392
2017;Sargassum muticum;Belsher questionnaire;Nord du Pertuis d'Antioche;1987;-1.46833;46.14044
2018;Sargassum muticum;Belsher questionnaire;Fermanville;1984;-1.46168;49.70016
2021;Sargassum muticum;Belsher questionnaire;Loix;1988;-1.41724;46.21998
2022;Sargassum muticum;Belsher questionnaire;Cote sauvage Oleron;1987;-1.40678;46.03539
2023;Sargassum muticum;Critchley 1983;Beaulieu River;1980;-1.40542;50.78882
2024;Sargassum muticum;Belsher questionnaire;Pertuis Breton_drift;1988;-1.40285;46.3103
2028;Sargassum muticum;Belsher questionnaire;La Cotiniere;1988;-1.34382;45.91727
2029;Sargassum muticum;Belsher questionnaire;Oyster ponds in Le Douhet;1985;-1.33535;46.01073
2030;Sargassum muticum;Critchley 1983;Hamble River;1979;-1.31729;50.85194
2035;Sargassum muticum;Belsher questionnaire;Sainte Marie de Re;1987;-1.31445;46.14587
2038;Sargassum muticum;Belsher questionnaire;La Flotte en Re;1987;-1.30564;46.19459
2040;Sargassum muticum;Belsher questionnaire;La Faute sur Mer;1990;-1.30407;46.29817
2045;Sargassum muticum;Belsher questionnaire;Rivedoux_drift;1988;-1.28337;46.18077
2046;Sargassum muticum;Critchley 1983;Barfleur;1977;-1.2734;49.70854
2047;Sargassum muticum;Belsher questionnaire;Barfleur;1985;-1.2712;49.68818
2048;Sargassum muticum;Belsher questionnaire;Saint Vaast;1984;-1.27042;49.58646
2049;Sargassum muticum;Critchley 1983;St Vaast;1976;-1.26855;49.58848
2050;Sargassum muticum;Belsher questionnaire;Saint Vaast;1986;-1.26702;49.58724
2053;Sargassum muticum;Gruet 1976;Saint Vaast la Hougue;1976;-1.263;49.60091
2054;Sargassum muticum;Gruet 1976;Saint Vaast la Hougue;1976;-1.25763;49.59593
2055;Sargassum muticum;Gruet 1976;Saint Vaast la Hougue;1976;-1.25533;49.60041
2056;Sargassum muticum;Gruet 1976;Saint Vaast la Hougue;1976;-1.25533;49.60886
2057;Sargassum muticum;Belsher questionnaire;Cap Ferret;1984;-1.24311;44.63993
2058;Sargassum muticum;Belsher questionnaire;Cap Ferret;1987;-1.24209;44.64171
2059;Sargassum muticum;Gruet 1976;Saint Vaast la Hougue;1976;-1.24151;49.60837
2060;Sargassum muticum;Gruet 1976;Saint Vaast la Hougue;1976;-1.23537;49.61085
2061;Sargassum muticum;Gruet 1983;Chenal de Cap Ferret;1983;-1.23415;44.6495
2062;Sargassum muticum;Gruet 1976;Pointe de Saire;1975;-1.23384;49.61036
2064;Sargassum muticum;Belsher questionnaire;Canelon;1987;-1.22368;44.69316
2065;Sargassum muticum;Belsher questionnaire;Piraillan;1987;-1.21615;44.70781
2066;Sargassum muticum;Belsher questionnaire;Plage sud  de l'Ile d'Oleron;1987;-1.21562;45.80963
2067;Sargassum muticum;Belsher questionnaire;Courbey_Arcachon;1984;-1.2094;44.68744
2068;Sargassum muticum;Belsher questionnaire;Courbey;1987;-1.20904;44.68563
2069;Sargassum muticum;Belsher questionnaire;La Reousse;1987;-1.20569;44.68647
2070;Sargassum muticum;Belsher questionnaire;Grand Banc;1987;-1.20528;44.67852
2072;Sargassum muticum;Belsher questionnaire;Estey de la Reousse;1984;-1.19381;44.68973
2086;Sargassum muticum;Belsher questionnaire;Jalles;1987;-1.19147;44.71617
2088;Sargassum muticum;Belsher questionnaire;Le Chateau d'Oleron;1990;-1.19119;45.88888
2089;Sargassum muticum;Belsher questionnaire;Les Hosses;1987;-1.1877;44.6848
2090;Sargassum muticum;Belsher questionnaire;Les Jacquets;1987;-1.18352;44.73751
2092;Sargassum muticum;Critchley 1983;Shanklin;1973;-1.1789;50.63496
2093;Sargassum muticum;Belsher questionnaire;Banc de la Mortane;1988;-1.17814;45.87338
2094;Sargassum muticum;Gruet 1983;Les Hosses;1983;-1.17639;44.68078
2095;Sargassum muticum;Belsher questionnaire;Les Hosses;1984;-1.17502;44.68927
2096;Sargassum muticum;Belsher questionnaire;Sud de l'Ile aux Oiseaux;1988;-1.1733;44.68429
2102;Sargassum muticum;Belsher questionnaire;Bourcefranc_drift;1988;-1.15768;45.85958
2104;Sargassum muticum;Belsher questionnaire;Estey du Gahignon_Arcachon;1983;-1.15354;44.6987
2105;Sargassum muticum;Belsher questionnaire;Gahignon;1987;-1.15298;44.69819
2107;Sargassum muticum;Belsher questionnaire;La Teste;1990;-1.1455;44.64957
2109;Sargassum muticum;Belsher questionnaire;Ares;1987;-1.14464;44.75318
2110;Sargassum muticum;Belsher questionnaire;Marennes;1990;-1.14013;45.80389
2111;Sargassum muticum;Critchley 1983;Puckpool;1974;-1.13967;50.73043
2112;Sargassum muticum;Belsher questionnaire;Seudre estuary;1985;-1.13757;45.79523
2114;Sargassum muticum;Critchley 1983;Portsmouth Harbour;1973;-1.12528;50.80955
2115;Sargassum muticum;Belsher questionnaire;Chenal  Andernos_Arcachon;1984;-1.12046;44.72182
2117;Sargassum muticum;Critchley 1983;Seaview;1973;-1.11809;50.72651
2118;Sargassum muticum;Critchley 1983;St Helens;1973;-1.10567;50.70689
2119;Sargassum muticum;Critchley 1983;Southsea;1974;-1.09651;50.78143
2120;Sargassum muticum;Critchley 1983;Grandcamp;1977;-1.09266;49.39101
2121;Sargassum muticum;Critchley 1983;Bembridge;1973;-1.0867;50.69643
2123;Sargassum muticum;Jones Farnham 1973;Bembridge;1973;-1.07586;50.69065
2125;Sargassum muticum;Belsher questionnaire;Grandcamp Maisy;1986;-1.05898;49.39409
2126;Sargassum muticum;Critchley 1983;Portsea Creek;1975;-1.05826;50.83592
2127;Sargassum muticum;Belsher questionnaire;Grandcamp;1990;-1.05655;49.39449
2128;Sargassum muticum;Cosson et al 1977;Grandcamp;1976;-1.05428;49.39509
2132;Sargassum muticum;Critchley 1983;Channel to Great Saterns quay;1976;-1.04132;50.81181
2133;Sargassum muticum;Critchley 1983;Eastney pontoon;1979;-1.03957;50.8
2135;Sargassum muticum;Critchley 1983;Hayling pontoon;1977;-1.03275;50.79827
2136;Sargassum muticum;Critchley 1983;Oyster Island;1975;-1.03003;50.82867
2137;Sargassum muticum;Critchley 1983;Russel Lake;1975;-1.02886;50.82657
2139;Sargassum muticum;Critchley 1983;Langstone Harbour;1974;-1.0272;50.81609
2143;Sargassum muticum;Cosson et al 1977;Pointe du Hoc_drift;1975;-0.99114;49.40078
2144;Sargassum muticum;Critchley 1983;Pointe du Hoc;1977;-0.9851;49.40664
2145;Sargassum muticum;Critchley 1983;Langstone bridge;1977;-0.98407;50.83592
2146;Sargassum muticum;Critchley 1983;West Cut;1975;-0.97199;50.83617
2147;Sargassum muticum;Critchley 1983;Northney marina;1977;-0.96693;50.83592
2149;Sargassum muticum;Critchley 1983;Emsworth west;1979;-0.96265;50.81993
2150;Sargassum muticum;Critchley 1983;Emsworth east;1979;-0.9533;50.82903
2152;Sargassum muticum;Critchley 1983;Chichester Harbour;1978;-0.91793;50.80699
2155;Sargassum muticum;Cosson et al 1977;Sainte Honorine des Pertes;1976;-0.83482;49.36728
2158;Sargassum muticum;Critchley 1983;Pagham Harbour;1979;-0.75935;50.76607
2161;Sargassum muticum;Critchley 1983;Bognor Regis;1979;-0.68482;50.78383
2162;Sargassum muticum;Critchley 1983;Ste Honorine;1977;-0.66688;49.35496
2165;Sargassum muticum;Critchley 1983;Arromanches;1979;-0.55652;49.35039
2173;Sargassum muticum;Belsher questionnaire;Bernieres sur Mer;1987;-0.38444;49.335
2174;Sargassum muticum;Belsher questionnaire;Berinieres sur Mer;1986;-0.37953;49.33353
2175;Sargassum muticum;Belsher questionnaire;Saint Aubin sur Mer;1986;-0.35834;49.32735
2176;Sargassum muticum;Critchley 1983;Worthing;1979;-0.33916;50.82007
2177;Sargassum muticum;Belsher questionnaire;Luc sur Mer;1990;-0.33382;49.31583
2178;Sargassum muticum;Belsher questionnaire;Langrune;1986;-0.33097;49.31235
2179;Sargassum muticum;Belsher questionnaire;Luc sur Mer;1986;-0.32303;49.31146
2180;Sargassum muticum;Critchley 1983;Luc-sur-Mer;1977;-0.31059;49.31144
2181;Sargassum muticum;Belsher questionnaire;Lion sur mer;1987;-0.30761;49.30363
2182;Sargassum muticum;Belsher questionnaire;Lion sur Mer;1990;-0.3034;49.30335
2187;Sargassum muticum;Belsher questionnaire;Hermanville sur Mer;1990;-0.28469;49.29633
2188;Sargassum muticum;Critchley 1983;Brighton;1977;-0.21002;50.82142
2194;Sargassum muticum;Belsher questionnaire;West of La Heve_drift;1985;0.05716;49.51159
2195;Sargassum muticum;Belsher questionnaire;East of Bay of Seine_drift;1984;0.07389;49.45973
2200;Sargassum muticum;Critchley 1983;Le Havre;1978;0.09888;49.49231
2201;Sargassum muticum;Belsher questionnaire;Port du Havre;1990;0.10094;49.48274
2202;Sargassum muticum;Gruet 1980;Le Havre harbour;1978;0.10275;49.48429
2203;Sargassum muticum;Critchley 1983;Seaford;1979;0.10855;50.76185
2205;Sargassum muticum;Belsher questionnaire;Le Havre;1988;0.1195;49.46035
2206;Sargassum muticum;Critchley 1983;Antifer;1978;0.12917;49.61601
2207;Sargassum muticum;Gruet 1980;Antifer harbour;1978;0.15277;49.64943
2214;Sargassum muticum;Critchley 1983;Eastbourne;1978;0.27306;50.74946
2223;Sargassum muticum;Belsher questionnaire;Quiberville_drift;1983;0.95942;49.92898
2224;Sargassum muticum;Belsher questionnaire;Dieppe_drift;1983;1.0765;49.94069
2226;Sargassum muticum;Belsher questionnaire;Off Berneval_drift;1983;1.15349;50.05177
2227;Sargassum muticum;Critchley 1983;Sheringham;1981;1.16171;52.9503
2232;Sargassum muticum;Barcelo Marti et al 2001;Segur de Calafell_drift;1990;1.47784;41.16298
2233;Sargassum muticum;Belsher questionnaire;Cayeyx sur Mer;1988;1.51367;50.20875
2234;Sargassum muticum;Belsher questionnaire;Cayeux sur Mer_drift;1987;1.5144;50.21262
2236;Sargassum muticum;Belsher questionnaire;Fort Mahon Plage_drift;1988;1.55448;50.34879
2237;Sargassum muticum;Belsher questionnaire;Equihen;1988;1.57123;50.6744
2240;Sargassum muticum;Belsher questionnaire;Hardelot;1988;1.57678;50.62994
2241;Sargassum muticum;Critchley 1983;Boulogne;1977;1.57968;50.73118
2242;Sargassum muticum;Belsher questionnaire;Cap Gris Nez_drift;1988;1.57982;50.87463
2243;Sargassum muticum;Coppejans et al 1980;Cap Gris Nez;1979;1.58153;50.87312
2245;Sargassum muticum;Critchley 1983;Cap Gris Nez;1979;1.58293;50.87287
2246;Sargassum muticum;Coppejans et al 1980;Cap Gis Nez_drift;1972;1.58429;50.87588
2250;Sargassum muticum;Belsher questionnaire;Audresselles_drift;1984;1.58784;50.83695
2253;Sargassum muticum;Belsher questionnaire;Boulogne;1990;1.59418;50.73936
2254;Sargassum muticum;Critchley 1983;Wimereux;1978;1.59585;50.75199
2258;Sargassum muticum;Belsher questionnaire;Wimereux;1983;1.60384;50.76635
2259;Sargassum muticum;Coppejans et al 1980;Wimereux;1978;1.60447;50.77586
2262;Sargassum muticum;Belsher questionnaire;Strouanne_drift;1988;1.68183;50.90715
2263;Sargassum muticum;Belsher questionnaire;Tardinghen_drift;1988;1.69127;50.91744
2275;Sargassum muticum;Belsher questionnaire;Dunkerque;1990;2.41875;51.06869
2292;Sargassum muticum;Stiger-Pouvreau, unpublished data;Presqu'ile de Rhuys;2014;-2.7852;47.4893
2304;Sargassum muticum;Coppejans et al 1980;Belgian coast_drift;1972;2.72301;51.15666
2305;Sargassum muticum;Coppejans et al 1980;Belgian coast_drift;1973;2.75421;51.16767
